"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_07302","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma",NA
"ASV_07022","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Lachnaceae","g__Proliferodiscus","s__alboviridis"
"ASV_07021","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_07285","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Microcera","s__larvarum"
"ASV_07023","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia","s__hungarica"
"ASV_07109","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodotorula","s__toruloides"
"ASV_07025","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia","s__pistaciae"
"ASV_07201","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV_07032","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina","s__sacchari"
"ASV_07134","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraphaeosphaeria","s__angularis"
"ASV_07425","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Xenodevriesiaceae","g__Xenodevriesia",NA
"ASV_07043","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Cyphellophoraceae","g__Cyphellophora","s__fusarioides"
"ASV_07040","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Phyllostictaceae","g__Phyllosticta","s__capitalensis"
"ASV_07045",NA,NA,NA,NA,NA,NA,NA
"ASV_07047","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_07049","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales","f__Rhytismataceae","g__Lophodermium","s__australe"
"ASV_07056","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Ostropales","f__Stictidaceae","g__Glomerobolus",NA
"ASV_08250","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Gnomoniaceae_gen_Incertae_sedis",NA
"ASV_07060","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"ASV_07061","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Cyphellophoraceae","g__Cyphellophora","s__fusarioides"
"ASV_07601","k__Rhizaria","p__Cercozoa","c__Cercozoa_cls_Incertae_sedis","o__Cercozoa_ord_Incertae_sedis","f__Cercozoa_fam_Incertae_sedis","g__Cercozoa_gen_Incertae_sedis",NA
"ASV_07062","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Mrakia",NA
"ASV_07064","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Setoseptoria",NA
"ASV_07067","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Orbilia","s__aurantiorubra"
"ASV_07066","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_07199","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"ASV_07069","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Auriculariales_fam_Incertae_sedis","g__Oliveonia",NA
"ASV_07070","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Erysiphales","f__Erysiphaceae","g__Blumeria","s__graminis"
"ASV_07073","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariales_fam_Incertae_sedis","g__Hansfordia","s__pruni"
"ASV_07074","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Talaromyces","s__helicus"
"ASV_07191","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Auriculariaceae","g__Auricularia","s__angiospermarum"
"ASV_07409","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Gnomoniaceae_gen_Incertae_sedis",NA
"ASV_07072","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae",NA,NA
"ASV_07076","k__Fungi","p__Ascomycota","c__Candelariomycetes","o__Candelariales","f__Candelariaceae","g__Candelaria","s__concolor"
"ASV_07186","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales","f__Rhytismataceae",NA,NA
"ASV_07312","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales",NA,NA,NA
"ASV_07146","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Neodevriesiaceae","g__Neodevriesia","s__lagerstroemiae"
"ASV_07077","k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales",NA,NA,NA
"ASV_07079","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Parmeliaceae","g__Parmotrema",NA
"ASV_07082","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Trichosphaeriales","f__Trichosphaeriaceae","g__Nigrospora","s__guilinensis"
"ASV_07080","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiostomataceae","g__Lophiostoma","s__jonesii"
"ASV_07420","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Trechisporales","f__Trechisporales_fam_Incertae_sedis","g__Sertulicium","s__jacksonii"
"ASV_07348","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_07112","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Colacogloeaceae","g__Colacogloea",NA
"ASV_07086","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Corticiales","f__Corticiaceae","g__Limonomyces","s__roseipellis"
"ASV_07089","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Endosporiaceae","g__Endosporium",NA
"ASV_07088","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia","s__maotaiensis"
"ASV_07116","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Phanerochaetaceae","g__Phlebiopsis","s__flavidoalba"
"ASV_07092","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraconiothyrium","s__estuarinum"
"ASV_07096","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiales","f__Cystobasidiaceae","g__Cystobasidium",NA
"ASV_07099","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_07102","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"ASV_07103","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Exobasidiales","f__Cryptobasidiaceae","g__Acaromyces","s__ingoldii"
"ASV_07105","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__floriforme"
"ASV_07341","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Extremaceae","g__Incertomyces",NA
"ASV_07113","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Pseudocercospora",NA
"ASV_07108","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Irpicaceae","g__Byssomerulius","s__corium"
"ASV_07127","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Diaporthe","s__litchiicola"
"ASV_07111","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Annulatascales","f__Annulatascaceae","g__Dictyosporella","s__guizhouensis"
"ASV_07115","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"ASV_07114","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetaceae","g__Phellinus","s__spiculosus"
"ASV_07117","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_07120","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Magnaporthales","f__Magnaporthaceae","g__Arxiella",NA
"ASV_07122","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Setomelanomma",NA
"ASV_07121","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae",NA,NA
"ASV_07288","k__Fungi","p__Basidiomycota","c__Ustilaginomycetes","o__Ustilaginales","f__Ustilaginaceae","g__Moesziomyces",NA
"ASV_07125","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Strelitzianaceae","g__Strelitziana","s__africana"
"ASV_07223","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_07583","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Tricladiaceae","g__Tricladium","s__angustum"
"ASV_07130","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Dictyosporiaceae","g__Pseudocoleophoma",NA
"ASV_07129","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Setomelanomma",NA
"ASV_07135","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"ASV_07138","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodotorula","s__graminis"
"ASV_07143","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_08635","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliales_fam_Incertae_sedis","g__Orbiliales_gen_Incertae_sedis",NA
"ASV_07145","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_07392","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Occultibambusaceae","g__Occultibambusaceae_gen_Incertae_sedis",NA
"ASV_07147","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Mollisiaceae","g__Phialocephala",NA
"ASV_07190","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Hannaella",NA
"ASV_07153","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Myrmecridiales","f__Myrmecridiaceae","g__Myrmecridium","s__schulzeri"
"ASV_07154","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Chrysozymaceae",NA,NA
"ASV_07152","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Pleurotaceae","g__Hohenbuehelia","s__atrocoerulea"
"ASV_07151","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae","g__Ceratobasidiaceae_gen_Incertae_sedis",NA
"ASV_07160","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Diaporthe",NA
"ASV_07158","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Gnomoniaceae_gen_Incertae_sedis",NA
"ASV_07163","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia","s__butyracea"
"ASV_07165","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Phomopsis","s__longicolla"
"ASV_07164","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_07166","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiales","f__Cystobasidiaceae","g__Cystobasidium","s__oligophagum"
"ASV_07168","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetales_fam_Incertae_sedis","g__Trichaptum","s__fuscoviolaceum"
"ASV_07169","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Cytosporella",NA
"ASV_07287","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Exobasidiales","f__Brachybasidiaceae","g__Kordyana",NA
"ASV_07299","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Sphaerulina",NA
"ASV_07574","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae",NA,NA
"ASV_07171","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_07172","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae",NA,NA
"ASV_07179","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Rickenellaceae","g__Sidera",NA
"ASV_07178","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Cyphellophoraceae","g__Cyphellophora","s__vermispora"
"ASV_07214","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala","s__capensis"
"ASV_07177","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Microstromatales","f__Microstromatales_fam_Incertae_sedis","g__Pseudomicrostroma","s__glucosiphilum"
"ASV_08630","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Cheilymenia",NA
"ASV_07184","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_07362","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Caespitomonium","s__euphorbiae"
"ASV_07195","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_07194","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_07192","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Neocatenulostroma","s__microsporum"
"ASV_07202","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_07204","k__Fungi","p__Basidiomycota","c__Microbotryomycetes",NA,NA,NA,NA
"ASV_07198",NA,NA,NA,NA,NA,NA,NA
"ASV_07965","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_07200","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Podosporaceae","g__Podospora","s__intestinacea"
"ASV_09208","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Stereaceae","g__Stereum","s__lobatum"
"ASV_07206","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_07207","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Phomatodes",NA
"ASV_07205","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Corticiales","f__Corticiaceae","g__Limonomyces","s__roseipellis"
"ASV_07208","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryales",NA,NA,NA
"ASV_07249","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes",NA,NA,NA,NA
"ASV_07263","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Lycoperdaceae","g__Holocotylon",NA
"ASV_07210","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Xeromphalina","s__campanelloides"
"ASV_07222","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Mycenaceae","g__Mycena","s__metata"
"ASV_07698","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Phomopsis",NA
"ASV_07301","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae",NA,NA
"ASV_07226","k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales","f__Pucciniaceae","g__Puccinia","s__recondita"
"ASV_07247","k__Fungi","p__Chytridiomycota","c__Chytridiomycota_cls_Incertae_sedis","o__Chytridiomycota_ord_Incertae_sedis","f__Chytridiomycota_fam_Incertae_sedis","g__Chytridiomycota_gen_Incertae_sedis",NA
"ASV_07228","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Mucoraceae","g__Mucor","s__hiemalis"
"ASV_07227","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales",NA,NA,NA
"ASV_07229","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Glomerellaceae","g__Colletotrichum","s__destructivum"
"ASV_07230","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales","f__Rhytismataceae","g__Lophodermium","s__australe"
"ASV_07232","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Peroneutypa","s__polysporae"
"ASV_07235","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales",NA,NA,NA
"ASV_07234","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_07233","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Phyllostictaceae","g__Phyllosticta","s__ampelicida"
"ASV_07248","k__Rhizaria","p__Cercozoa","c__Cercozoa_cls_Incertae_sedis","o__Cercozoa_ord_Incertae_sedis","f__Cercozoa_fam_Incertae_sedis","g__Cercozoa_gen_Incertae_sedis",NA
"ASV_07237","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cryptococcaceae","g__Kwoniella","s__newhampshirensis"
"ASV_07236","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina",NA
"ASV_07238","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales",NA,NA,NA
"ASV_07243","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraphaeosphaeria","s__viridescens"
"ASV_07241","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales",NA,NA,NA
"ASV_07242","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Crassiparies","s__quadrisporus"
"ASV_07250","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Solicoccozyma","s__zizaniae"
"ASV_07254","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Sporocadaceae","g__Seimatosporium","s__discosioides"
"ASV_07255","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariales_fam_Incertae_sedis","g__Xenoanthostomella","s__chromolaenae"
"ASV_07256","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia","s__nyssicola"
"ASV_08385","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora",NA
"ASV_07261","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Hyponectriaceae","g__Monographella",NA
"ASV_07262","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Kiflimonium","s__curvulum"
"ASV_07265","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Cyphellophoraceae","g__Cyphellophora","s__vermispora"
"ASV_07581","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_07264",NA,NA,NA,NA,NA,NA,NA
"ASV_07343","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Coryneliales","f__Coryneliaceae","g__Corynelia","s__uberata"
"ASV_07268","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV_07269","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Polylobatispora",NA
"ASV_07267","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Cyphellophoraceae","g__Cyphellophora","s__sessilis"
"ASV_09801","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Gnomoniaceae_gen_Incertae_sedis",NA
"ASV_07309","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Setomelanomma",NA
"ASV_07271","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraphaeosphaeria","s__viridescens"
"ASV_07272","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Lecanosticta",NA
"ASV_07273","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Exobasidiales","f__Brachybasidiaceae","g__Kordyana",NA
"ASV_07279","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Gnomoniaceae_gen_Incertae_sedis",NA
"ASV_07280","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Setophoma","s__vernoniae"
"ASV_07358","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_07284","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraconiothyrium","s__archidendri"
"ASV_07283","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","s__predappioensis"
"ASV_07282","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Zasmidium","s__nocoxi"
"ASV_07289","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Myriangiaceae","g__Myriangium",NA
"ASV_07286","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans"
"ASV_07290","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales",NA,NA,NA
"ASV_07440","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma",NA
"ASV_07452","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Parateratosphaeria",NA
"ASV_08874","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__sclerotiorum"
"ASV_07297","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Gnomoniaceae_gen_Incertae_sedis",NA
"ASV_09169","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_07303","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Corticiales","f__Corticiaceae","g__Limonomyces","s__roseipellis"
"ASV_07306","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Alatosessilispora","s__bibrachiata"
"ASV_07397","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Bacillicladium","s__clematidis"
"ASV_07313","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Didymocyrtis","s__pini"
"ASV_07318","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Serpulaceae","g__Serpula","s__himantioides"
"ASV_07317","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Gnomoniaceae_gen_Incertae_sedis",NA
"ASV_07322","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Trichomerium","s__cicatricatum"
"ASV_07320","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma","s__tomentosum"
"ASV_07324","k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Powellomycetaceae","g__Powellomycetaceae_gen_Incertae_sedis",NA
"ASV_07325","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales",NA,NA,NA
"ASV_07430","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Cyphellophoraceae","g__Cyphellophora",NA
"ASV_07326","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina",NA
"ASV_07334","k__Fungi","p__Chytridiomycota","c__Rhizophlyctidomycetes","o__Rhizophlyctidales","f__Rhizophlyctidaceae","g__Rhizophlyctis","s__rosea"
"ASV_07333","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_07336","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Acrospermales","f__Acrospermales_fam_Incertae_sedis","g__Acrospermales_gen_Incertae_sedis",NA
"ASV_07337","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetales_fam_Incertae_sedis","g__Trichaptum","s__biforme"
"ASV_07353","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Erythrobasidiales","f__Erythrobasidiaceae","g__Erythrobasidium",NA
"ASV_07339","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Amphisphaeriaceae","g__Microdochium","s__seminicola"
"ASV_07521","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales",NA,NA,NA
"ASV_07565","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_07349","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Fomitopsidaceae","g__Amyloporia","s__sinuosa"
"ASV_07356","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_07385","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Xenosonderhenia","s__syzygii"
"ASV_07363","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Harknessiaceae","g__Harknessia","s__cupressi"
"ASV_07365","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Sporocadaceae","g__Seiridium","s__phylicae"
"ASV_07361","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Sporocadaceae","g__Seimatosporium","s__discosioides"
"ASV_07364","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Exobasidiales","f__Exobasidiaceae","g__Exobasidium",NA
"ASV_07371","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Kondoaceae","g__Kondoa",NA
"ASV_07449","k__Fungi","p__Basidiomycota","c__Spiculogloeomycetes","o__Spiculogloeales","f__Spiculogloeaceae","g__Phyllozyma",NA
"ASV_07370","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_07374","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria","s__oryzae"
