"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_36696","k__Rhizaria","p__Cercozoa","c__Cercozoa_cls_Incertae_sedis","o__Cercozoa_ord_Incertae_sedis","f__Cercozoa_fam_Incertae_sedis","g__Cercozoa_gen_Incertae_sedis",NA
"ASV_36697",NA,NA,NA,NA,NA,NA,NA
"ASV_36703","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae","g__Annulohypoxylon","s__truncatum"
"ASV_36714","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Coniothyriaceae","g__Coniothyrium","s__dolichi"
"ASV_36719","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales","f__Atheliaceae","g__Athelia",NA
"ASV_36725","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Fomitopsidaceae","g__Postia","s__hibernica"
"ASV_36728","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Geastrales","f__Geastraceae","g__Geastrum","s__morganii"
"ASV_36729","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales",NA,NA,NA
"ASV_36735","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Parateratosphaeria",NA
"ASV_36736","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Elsinoaceae","g__Elsinoe","s__eucalypticola"
"ASV_36750","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae",NA,NA
"ASV_36752","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Bezerromycetales","f__Bezerromycetaceae","g__Bezerromyces",NA
"ASV_36753","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Elsinoaceae","g__Elsinoe",NA
"ASV_36754","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Microstromatales","f__Microstromatales_fam_Incertae_sedis","g__Pseudomicrostroma",NA
"ASV_36759","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellales_fam_Incertae_sedis","g__Mortierellales_gen_Incertae_sedis",NA
"ASV_36765","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Corticiales",NA,NA,NA
"ASV_36768","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales",NA,NA,NA
"ASV_36771","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiostomataceae",NA,NA
"ASV_36790","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetales_fam_Incertae_sedis","g__Trichaptum","s__biforme"
