"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_033884","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter"
"ASV_030317","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"ASV_030603","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae",NA
"ASV_035415","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus"
"ASV_029967","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"ASV_030858","Bacteria","Actinobacteriota","Acidimicrobiia",NA,NA,NA
"ASV_029974","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae",NA
"ASV_029981","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum"
"ASV_029982","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"ASV_029986","Bacteria","Firmicutes","Thermoanaerobacteria","Thermoanaerobacterales","Thermoanaerobacteraceae","Thermoanaerobacter"
"ASV_029987","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"ASV_029991","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ASV_029994","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ASV_029995","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Ruminococcus] torques group"
"ASV_035040","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter"
"ASV_030002","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis"
"ASV_030643","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter"
"ASV_030013","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas"
"ASV_030565","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","possible genus 04"
"ASV_030203","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter"
"ASV_030003","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA
"ASV_030097","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"ASV_030031","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Marmoricola"
"ASV_030204","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"ASV_030012","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae",NA
"ASV_030157","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"ASV_030090","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia"
"ASV_030032","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodoplanes"
"ASV_048088","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae",NA
"ASV_030006","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae",NA
"ASV_030028","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Roseisolibacter"
"ASV_033068","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter"
"ASV_043774","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Marmoricola"
"ASV_030007","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1"
"ASV_030009","Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineococcus"
"ASV_030015","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Stappiaceae",NA
"ASV_030029","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1"
"ASV_030033","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"ASV_030034","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Frankiaceae","Jatrophihabitans"
"ASV_034568","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Marvinbryantia"
"ASV_029997","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA
"ASV_030020","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","LWQ8",NA
"ASV_030035","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales",NA,NA
"ASV_031148","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Shinella"
"ASV_032212","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Pedococcus-Phycicoccus"
"ASV_039400","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Rahnella1"
"ASV_030273","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter"
"ASV_030114","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia"
"ASV_030321","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales",NA,NA
"ASV_030526","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae",NA
"ASV_030072","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus"
"ASV_035073","Bacteria","Firmicutes","Bacilli","Aneurinibacillales","Aneurinibacillaceae","Aneurinibacillus"
"ASV_030070","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"ASV_030073","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae",NA
"ASV_030047","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"ASV_045724","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tyzzerella"
"ASV_030152","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"ASV_031543","Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae","Candidatus Alysiosphaera"
"ASV_030040","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter"
"ASV_030048","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
"ASV_030057","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Saccharothrix"
"ASV_033958","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae",NA
"ASV_052558","Bacteria","Actinobacteriota","Acidimicrobiia",NA,NA,NA
"ASV_030076","Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20",NA,NA
"ASV_030042","Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"ASV_030044","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"ASV_033618","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia"
"ASV_033738","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Nakamurellaceae","Nakamurella"
"ASV_047185","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA
"ASV_030242","Bacteria","Actinobacteriota","Actinobacteria",NA,NA,NA
"ASV_030924","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Dactylosporangium"
"ASV_033721","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"ASV_035057","Bacteria","Proteobacteria","Alphaproteobacteria","Dongiales","Dongiaceae","Dongia"
"ASV_030093","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax"
"ASV_030156","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylotenera"
"ASV_032393","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14",NA
"ASV_030707","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus"
"ASV_030084","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium"
"ASV_030086","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"ASV_030091","Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"ASV_030092","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA
"ASV_030914","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_030095","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales",NA,NA
"ASV_030100","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Aurantimicrobium"
"ASV_030101","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"ASV_030854","Bacteria","Actinobacteriota","Actinobacteria","Catenulisporales","Actinospicaceae","Actinospica"
"ASV_030118","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"ASV_034683","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Roseisolibacter"
"ASV_030138","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"ASV_030121","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter"
"ASV_034689","Bacteria","Myxococcota","Polyangia","Polyangiales","Phaselicystidaceae","Phaselicystis"
"ASV_030597","Bacteria",NA,NA,NA,NA,NA
"ASV_042071","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Rhodopila"
"ASV_030147","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"ASV_037697","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter"
"ASV_030144","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga"
"ASV_033173","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Dorea"
"ASV_030130","Bacteria","Chloroflexi","TK10",NA,NA,NA
"ASV_032896","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Ammoniphilus"
"ASV_038606","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"ASV_030107","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"ASV_030135","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter"
"ASV_030140","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax"
"ASV_030613","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter"
"ASV_034154","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Alcaligenes"
"ASV_046680","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella"
"ASV_030162","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA
"ASV_030744","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_035666","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"ASV_032044","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingoaurantiacus"
"ASV_030159","Bacteria","Acidobacteriota","Subgroup 5",NA,NA,NA
"ASV_030320","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylophilus"
"ASV_030155","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"ASV_035883","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14",NA
"ASV_030178","Bacteria","Firmicutes","Clostridia","Clostridiales","Caloramatoraceae","Fonticella"
"ASV_034903","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Candidatus Hamiltonella"
"ASV_030174","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"ASV_030264","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10"
"ASV_030154","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ASV_030184","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"ASV_030187","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium"
"ASV_030192","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus"
"ASV_033422","Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae",NA
"ASV_030236","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Klenkia"
"ASV_030205","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"ASV_030206","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"ASV_030200","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Kluyvera"
"ASV_030213","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales",NA,NA
"ASV_030196","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales",NA,NA
"ASV_030220","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"ASV_031403","Bacteria","Cyanobacteria","Sericytochromatia",NA,NA,NA
"ASV_036047","Bacteria","Firmicutes","Clostridia","Eubacteriales","Garciellaceae","Rhabdanaerobium"
"ASV_036328","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42"
"ASV_030199","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"ASV_030211","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"ASV_030194","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas"
"ASV_030210","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales",NA,NA
"ASV_030224","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"ASV_033211","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Geodermatophilus"
"ASV_030425","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae",NA
"ASV_031088","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales",NA,NA
"ASV_031453","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA
"ASV_030680","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae",NA
"ASV_030257","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Frankiaceae","Jatrophihabitans"
"ASV_030250","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",NA
"ASV_030241","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"ASV_030251","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_030928","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Shinella"
"ASV_035825","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae",NA
"ASV_030333","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter"
"ASV_030248","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"ASV_032375","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ideonella"
"ASV_041056","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Geodermatophilus"
"ASV_030272","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum"
"ASV_030274","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales",NA,NA
"ASV_030280","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"ASV_031658","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_030268","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7"
"ASV_030270","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"ASV_030292","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum"
"ASV_030375","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Rhodocytophaga"
"ASV_032485","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium"
"ASV_030262","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Myroides"
"ASV_030283","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Bacteriovorax"
"ASV_030276","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella"
"ASV_030288","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"ASV_030289","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_030293","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA
"ASV_030296","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SM2D12",NA
"ASV_030303","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum"
"ASV_030304","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae",NA
"ASV_030693","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Kouleothrix"
"ASV_032585","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Candidatus Jidaibacter",NA
"ASV_034002","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV_040806","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Arcticibacter"
"ASV_048119","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Frankiaceae","Jatrophihabitans"
"ASV_030890","Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae",NA
"ASV_032143","Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae","Geminicoccus"
"ASV_030848","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"ASV_030309","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Pajaroellobacter"
"ASV_030315","Bacteria","Actinobacteriota","Actinobacteria","PeM15",NA,NA
"ASV_033492","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter"
"ASV_040843","Bacteria","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Tumebacillus"
"ASV_030310","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter"
"ASV_030313","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae",NA
"ASV_033329","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42"
"ASV_036003","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium"
"ASV_030316","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"ASV_030319","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ASV_030308","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter"
"ASV_039185","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Actinopolymorpha"
"ASV_030331","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_030307","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax"
"ASV_030318","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","1174-901-12"
"ASV_030322","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae",NA
"ASV_030341","Bacteria","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Alicyclobacillus"
"ASV_030305","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"ASV_030324","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14",NA
"ASV_030339","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Atopostipes"
"ASV_030340","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Roseisolibacter"
"ASV_033167","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Lautropia"
"ASV_038382","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enterorhabdus"
"ASV_030350","Bacteria","Proteobacteria","Alphaproteobacteria","Caedibacterales","Caedibacteraceae","Caedibacter"
"ASV_030745","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,NA
"ASV_030353","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylotenera"
"ASV_037675","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"ASV_031165","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Frankiaceae","Jatrophihabitans"
"ASV_032458","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax"
"ASV_030347","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_042367","Bacteria","Firmicutes","Bacilli","Thermoactinomycetales","Thermoactinomycetaceae","Shimazuella"
"ASV_032587","Bacteria","Myxococcota","Polyangia","Polyangiales",NA,NA
"ASV_030342","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1"
"ASV_030371","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","LWQ8",NA
"ASV_030355","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae",NA
"ASV_030357","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"ASV_030360","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","1174-901-12"
"ASV_030373","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","alphaI cluster"
"ASV_031055","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"ASV_031820","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales",NA,NA
"ASV_030386","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae",NA
"ASV_030886","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae",NA
"ASV_030381","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Aureimonas"
"ASV_031740","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae",NA
"ASV_030389","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"ASV_030387","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV_030624","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","TM7a"
"ASV_030378","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_030379","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","Pseudarcobacter"
"ASV_030380","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Thermomonas"
"ASV_034621","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter"
"ASV_030384","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum"
"ASV_030399","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium"
"ASV_037416","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Iamiaceae","Iamia"
"ASV_045668","Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","Oligoflexaceae",NA
"ASV_030376","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Frankiaceae","Jatrophihabitans"
"ASV_030377","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"ASV_030394","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_030396","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae",NA
"ASV_030411","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ASV_032865","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae",NA
"ASV_035087","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Bogoriellaceae","Bogoriella"
"ASV_030557","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Xylophilus"
"ASV_030435","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium"
"ASV_030558","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter"
"ASV_034800","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"ASV_030427","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae",NA
"ASV_030527","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella"
"ASV_030421","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
